1,1,1,5,"Responsive seller, highly recommended.",2024-08-15 12:47:09
2,5,1,5,"Good communication, fast shipping.",2024-07-03 09:56:31
3,1,1,3,"Average experience, slow responses.",2023-12-22 17:35:44
4,9,5,5,"Seller went above and beyond!",2024-09-01 14:18:02
5,14,4,1,"Not very helpful, slow responses.",2024-06-27 11:26:53
6,5,5,3,"This was an iffy experience.",2024-10-09 19:41:36
7,12,3,5,"This was a great experience",2023-11-11 08:07:15
8,20,2,1,"Terrible experience.",2024-05-14 13:22:28
9,13,3,2,"Shipping could have been better.",2023-10-28 16:49:05
10,13,3,4,"Mediocre quality, but fast shipping.",2024-02-12 10:44:37
11,8,5,5,"Excellent customer service and product!",2023-08-19 15:22:01
12,11,2,3,"Product arrived late and damaged.",2024-01-03 18:55:11
13,8,4,4,"Good overall, will consider buying again.",2024-03-29 12:16:43
14,8,1,1,"Very disappointed, not as described.",2024-09-05 09:08:26
15,18,6,5,"Quick delivery and smooth process.",2024-07-13 10:25:44
16,8,2,3,"Decent product, customer service was helpful.",2024-03-11 16:38:19
17,8,5,5,"Highly satisfied, will buy again.",2024-06-17 14:49:33
18,8,1,3,"Item was okay, expected better packaging.",2009-10-05 12:02:58
19,8,3,4,"Prompt response and good value.",2019-01-26 17:15:12
20,1,5,5,"Blazing fast delivery, product perfect!",2024-04-25 10:45:00
21,2,5,4,"Very good experience, will shop again.",2024-04-24 15:30:00
22,3,5,5,"Superb service, highly recommend!",2024-04-23 11:20:00
23,8,5,3,"Product was decent but delayed.",2024-04-22 18:10:00
24,7,5,5,"Awesome seller, great packaging.",2024-04-21 16:05:00
25,12,2,4,"Good quality item, minor delay.",2024-04-20 09:55:00
26,6,2,3,"Item okay but arrived slightly damaged.",2024-04-19 14:40:00
27,11,2,5,"Fantastic experience, super fast shipping!",2024-04-18 17:20:00
28,8,2,2,"Shipping issues, item eventually received.",2024-04-17 13:35:00
29,7,2,5,"Perfect transaction, very smooth.",2024-04-16 08:15:00
30,1,3,4,"Satisfied with purchase, would buy again.",2024-04-15 19:25:00
31,2,3,5,"Top-notch seller, excellent support!",2024-04-14 14:10:00
32,3,3,2,"Item arrived late, packaging was messy.",2024-04-13 12:00:00
33,8,3,5,"Amazing service, product better than expected!",2024-04-12 17:45:00
34,7,3,3,"Average experience, not bad.",2024-04-11 09:50:00
35,12,5,5,"Super happy with my purchase!",2024-04-10 15:15:00
36,6,5,4,"Good communication and fast delivery.",2024-04-09 11:30:00
37,11,5,5,"Exactly what I needed, 5 stars!",2024-04-08 18:00:00
38,8,5,2,"Item had small defects, but seller responsive.",2024-04-07 13:25:00
39,7,5,4,"Smooth buying experience overall.",2024-04-06 16:40:00
40,1,5,5,"Amazing experience, would highly recommend!",2024-04-05 10:15:00
41,2,5,4,"Good product, but packaging could improve.",2024-04-04 11:30:00
42,3,5,5,"Seller very communicative, excellent!",2024-04-03 09:45:00
43,8,5,3,"Item arrived slightly later than expected.",2024-04-02 13:50:00
44,7,5,5,"Perfect service, fast delivery!",2024-04-01 17:10:00
45,12,2,4,"Good overall, some minor delays.",2024-03-31 14:25:00
46,6,2,5,"Fantastic seller, great prices!",2024-03-30 15:45:00
47,11,2,3,"Decent product, but shipping was slow.",2024-03-29 11:55:00
48,8,2,4,"Good experience, helpful communication.",2024-03-28 18:05:00
49,7,2,5,"Super fast shipping, would buy again!",2024-03-27 10:40:00
50,1,3,4,"Product matched description, happy!",2024-03-26 16:00:00
51,2,3,2,"Item quality was lower than expected.",2024-03-25 12:30:00
52,3,3,5,"Outstanding service and quality!",2024-03-24 13:20:00
53,8,3,4,"Seller was friendly and item was fine.",2024-03-23 15:10:00
54,7,3,3,"Average experience, okay transaction.",2024-03-22 17:45:00
55,12,5,5,"Absolutely loved it, amazing seller!",2024-03-21 10:25:00
56,6,5,4,"Very smooth transaction!",2024-03-20 13:15:00
57,11,5,5,"Fastest delivery I've ever had.",2024-03-19 18:30:00
58,8,5,3,"Item fine, but packaging was damaged.",2024-03-18 11:10:00
59,7,5,4,"Good seller, would recommend.",2024-03-17 14:20:00
60,1,5,5,"Fantastic service and quick turnaround.",2024-03-16 09:50:00
61,2,5,2,"Not the best, some issues with item.",2024-03-15 12:40:00
62,3,5,5,"Seller was excellent!",2024-03-14 10:00:00
63,8,5,4,"Product great, but shipping slow.",2024-03-13 11:35:00
64,7,5,5,"Highly recommend this seller!",2024-03-12 17:20:00
65,12,2,3,"Item was as described, shipping was slow.",2024-03-11 13:00:00
66,6,2,5,"Wonderful experience!",2024-03-10 15:45:00
67,11,2,2,"Late delivery but good response from seller.",2024-03-09 16:30:00
68,8,2,4,"Pretty good overall.",2024-03-08 18:15:00
69,7,2,5,"One of the best sellers I've bought from!",2024-03-07 12:45:00
70,1,3,4,"Good value for the price.",2024-03-06 15:10:00
71,2,3,3,"Satisfactory experience.",2024-03-05 14:00:00
